rut,fecha,estado,justificada,motivo
68659238-2,2025-03-01,SALIDA_ANTICIPADA,false,
68659238-2,2025-03-02,SALIDA_ANTICIPADA,false,
68659238-2,2025-03-03,PRESENTE,false,
68659238-2,2025-03-04,SALIDA_ANTICIPADA,false,
68659238-2,2025-03-05,AUSENTE,false,
33078574-1,2025-03-01,PRESENTE,false,
33078574-1,2025-03-02,SALIDA_ANTICIPADA,false,
33078574-1,2025-03-03,AUSENTE,false,
33078574-1,2025-03-04,PRESENTE,false,
33078574-1,2025-03-05,PRESENTE,false,
74253938-4,2025-03-01,AUSENTE,false,
74253938-4,2025-03-02,AUSENTE,true,Certificado medico
74253938-4,2025-03-03,PRESENTE,false,
74253938-4,2025-03-04,AUSENTE,true,Certificado medico
74253938-4,2025-03-05,AUSENTE,false,
34873422-8,2025-03-01,AUSENTE,false,
34873422-8,2025-03-02,SALIDA_ANTICIPADA,false,
34873422-8,2025-03-03,SALIDA_ANTICIPADA,false,
34873422-8,2025-03-04,SALIDA_ANTICIPADA,false,
34873422-8,2025-03-05,PRESENTE,false,
51447806-2,2025-03-01,PRESENTE,false,
51447806-2,2025-03-02,PRESENTE,false,
51447806-2,2025-03-03,PRESENTE,false,
51447806-2,2025-03-04,PRESENTE,false,
51447806-2,2025-03-05,PRESENTE,false,
59728728-7,2025-03-01,AUSENTE,false,
59728728-7,2025-03-02,AUSENTE,false,
59728728-7,2025-03-03,AUSENTE,false,
59728728-7,2025-03-04,SALIDA_ANTICIPADA,false,
59728728-7,2025-03-05,AUSENTE,true,Certificado medico
75768929-7,2025-03-01,PRESENTE,false,
75768929-7,2025-03-02,PRESENTE,false,
75768929-7,2025-03-03,SALIDA_ANTICIPADA,false,
75768929-7,2025-03-04,PRESENTE,false,
75768929-7,2025-03-05,AUSENTE,true,Certificado medico
49221315-9,2025-03-01,PRESENTE,false,
49221315-9,2025-03-02,PRESENTE,false,
49221315-9,2025-03-03,SALIDA_ANTICIPADA,false,
49221315-9,2025-03-04,AUSENTE,true,Certificado medico
49221315-9,2025-03-05,AUSENTE,true,Certificado medico
78651921-5,2025-03-01,AUSENTE,true,Certificado medico
78651921-5,2025-03-02,PRESENTE,false,
78651921-5,2025-03-03,PRESENTE,false,
78651921-5,2025-03-04,PRESENTE,false,
78651921-5,2025-03-05,AUSENTE,true,Certificado medico
64608545-3,2025-03-01,PRESENTE,false,
64608545-3,2025-03-02,SALIDA_ANTICIPADA,false,
64608545-3,2025-03-03,PRESENTE,false,
64608545-3,2025-03-04,AUSENTE,false,
64608545-3,2025-03-05,PRESENTE,false,
