rut,nombre,cursoId,anio
21117314-1,Pedro Diaz,1MB,2024
77209757-2,Carlos Fuentes,1MB,2024
80356748-9,Valentina Diaz,1MB,2024
44148411-4,Pedro Gomez,1MB,2024
38076187-9,Camila Rojas,1MB,2024
19564227-5,Sofia Fuentes,1MB,2024
81117721-9,Martina Diaz,1MB,2024
28190106-7,Diego Rojas,1MB,2024
47067946-2,Camila Perez,1MB,2024
82337762-5,Carlos Rojas,1MB,2024
98996331-3,Luis Vargas,1MB,2024
69741420-5,Sofia Lopez,1MB,2024
92723621-2,Ana Sanchez,1MB,2024
60480407-0,Carlos Castro,1MB,2024
82523068-1,Ana Rojas,1MB,2024
