rut,nombre,cursoId,anio
42449935-0,Pedro Lopez,3MB,2024
19055289-9,Diego Castro,3MB,2024
41789027-3,Maria Gomez,3MB,2024
13211677-8,Diego Diaz,3MB,2024
16491208-2,Juan Lopez,3MB,2024
49348656-3,Maria Sanchez,3MB,2024
35347241-2,Sofia Fuentes,3MB,2024
42958800-5,Juan Rojas,3MB,2024
31114535-8,Juan Perez,3MB,2024
66068809-3,Carlos Rojas,3MB,2024
92222273-2,Pedro Perez,3MB,2024
53539574-8,Martina Vargas,3MB,2024
37609755-1,Maria Castro,3MB,2024
48891356-1,Carlos Vargas,3MB,2024
63566854-7,Sofia Rojas,3MB,2024
