rut,fecha,estado,justificada,motivo
78005887-2,2025-03-01,PRESENTE,false,
78005887-2,2025-03-02,AUSENTE,false,
78005887-2,2025-03-03,PRESENTE,false,
78005887-2,2025-03-04,SALIDA_ANTICIPADA,false,
78005887-2,2025-03-05,SALIDA_ANTICIPADA,false,
49404369-4,2025-03-01,PRESENTE,false,
49404369-4,2025-03-02,AUSENTE,false,
49404369-4,2025-03-03,PRESENTE,false,
49404369-4,2025-03-04,SALIDA_ANTICIPADA,false,
49404369-4,2025-03-05,AUSENTE,false,
70740842-3,2025-03-01,SALIDA_ANTICIPADA,false,
70740842-3,2025-03-02,SALIDA_ANTICIPADA,false,
70740842-3,2025-03-03,PRESENTE,false,
70740842-3,2025-03-04,SALIDA_ANTICIPADA,false,
70740842-3,2025-03-05,AUSENTE,true,Certificado medico
26718296-0,2025-03-01,AUSENTE,true,Certificado medico
26718296-0,2025-03-02,SALIDA_ANTICIPADA,false,
26718296-0,2025-03-03,PRESENTE,false,
26718296-0,2025-03-04,AUSENTE,true,Certificado medico
26718296-0,2025-03-05,SALIDA_ANTICIPADA,false,
21755392-0,2025-03-01,AUSENTE,false,
21755392-0,2025-03-02,SALIDA_ANTICIPADA,false,
21755392-0,2025-03-03,PRESENTE,false,
21755392-0,2025-03-04,AUSENTE,false,
21755392-0,2025-03-05,SALIDA_ANTICIPADA,false,
33427254-4,2025-03-01,AUSENTE,false,
33427254-4,2025-03-02,SALIDA_ANTICIPADA,false,
33427254-4,2025-03-03,PRESENTE,false,
33427254-4,2025-03-04,SALIDA_ANTICIPADA,false,
33427254-4,2025-03-05,SALIDA_ANTICIPADA,false,
11663876-7,2025-03-01,SALIDA_ANTICIPADA,false,
11663876-7,2025-03-02,SALIDA_ANTICIPADA,false,
11663876-7,2025-03-03,SALIDA_ANTICIPADA,false,
11663876-7,2025-03-04,PRESENTE,false,
11663876-7,2025-03-05,PRESENTE,false,
44560063-3,2025-03-01,SALIDA_ANTICIPADA,false,
44560063-3,2025-03-02,SALIDA_ANTICIPADA,false,
44560063-3,2025-03-03,SALIDA_ANTICIPADA,false,
44560063-3,2025-03-04,AUSENTE,true,Certificado medico
44560063-3,2025-03-05,SALIDA_ANTICIPADA,false,
62539520-3,2025-03-01,SALIDA_ANTICIPADA,false,
62539520-3,2025-03-02,PRESENTE,false,
62539520-3,2025-03-03,PRESENTE,false,
62539520-3,2025-03-04,PRESENTE,false,
62539520-3,2025-03-05,AUSENTE,true,Certificado medico
55654082-7,2025-03-01,PRESENTE,false,
55654082-7,2025-03-02,SALIDA_ANTICIPADA,false,
55654082-7,2025-03-03,PRESENTE,false,
55654082-7,2025-03-04,SALIDA_ANTICIPADA,false,
55654082-7,2025-03-05,PRESENTE,false,
