rut,nombre,cursoId,anio
62826187-9,Diego Morales,8B,2024
21153893-7,Carlos Diaz,8B,2024
42758936-6,Pedro Gomez,8B,2024
58375562-1,Luis Perez,8B,2024
65506595-1,Juan Lopez,8B,2024
94644295-4,Luis Fuentes,8B,2024
75828183-0,Camila Castro,8B,2024
52339532-8,Sofia Vargas,8B,2024
41409726-7,Luis Gomez,8B,2024
65822629-8,Luis Fuentes,8B,2024
20625727-0,Sofia Diaz,8B,2024
22316574-2,Juan Morales,8B,2024
69179005-5,Diego Perez,8B,2024
36439837-0,Pedro Perez,8B,2024
28078986-5,Valentina Castro,8B,2024
