rut,nombre,cursoId,anio
65038360-7,Carlos Vargas,4MB,2024
36481335-8,Jorge Rojas,4MB,2024
29649745-8,Carlos Gomez,4MB,2024
79223445-0,Sofia Morales,4MB,2024
23518648-7,Martina Perez,4MB,2024
83157306-8,Pedro Vargas,4MB,2024
50577056-0,Maria Morales,4MB,2024
44099854-3,Pedro Lopez,4MB,2024
51701361-9,Maria Castro,4MB,2024
55449368-8,Valentina Fuentes,4MB,2024
74870488-5,Carlos Sanchez,4MB,2024
40616075-6,Jorge Fuentes,4MB,2024
48143109-5,Valentina Diaz,4MB,2024
32470674-7,Maria Lopez,4MB,2024
78024868-0,Luis Vargas,4MB,2024
