rut,nombre,cursoId,anio
14371063-7,Camila Diaz,3B,2024
78564963-2,Maria Rojas,3B,2024
35168489-8,Diego Sanchez,3B,2024
82525481-5,Juan Diaz,3B,2024
67583112-7,Martina Perez,3B,2024
14260964-2,Jorge Sanchez,3B,2024
93860171-0,Jorge Morales,3B,2024
68937537-8,Sofia Rojas,3B,2024
48960136-9,Pedro Gomez,3B,2024
61666217-1,Maria Fuentes,3B,2024
72209701-6,Valentina Vargas,3B,2024
33879669-4,Juan Castro,3B,2024
37331664-2,Valentina Rojas,3B,2024
20450398-1,Diego Lopez,3B,2024
90458676-1,Maria Rojas,3B,2024
