rut,nombre,cursoId,anio
59996061-0,Diego Gomez,6B,2024
89055344-4,Jorge Perez,6B,2024
62617050-2,Valentina Lopez,6B,2024
10699630-5,Pedro Vargas,6B,2024
93185260-2,Diego Vargas,6B,2024
74577794-4,Maria Castro,6B,2024
37122501-9,Jorge Gomez,6B,2024
28426096-9,Ana Fuentes,6B,2024
97952891-7,Jorge Castro,6B,2024
83130885-5,Luis Rojas,6B,2024
18162835-6,Camila Rojas,6B,2024
15636491-2,Pedro Fuentes,6B,2024
68274875-8,Valentina Vargas,6B,2024
22515999-4,Carlos Castro,6B,2024
51868797-0,Ana Vargas,6B,2024
