rut,fecha,estado,justificada,motivo
59996061-0,2024-03-01,AUSENTE,true,Certificado medico
59996061-0,2024-03-02,AUSENTE,false,
59996061-0,2024-03-03,SALIDA_ANTICIPADA,false,
59996061-0,2024-03-04,AUSENTE,true,Certificado medico
59996061-0,2024-03-05,PRESENTE,false,
59996061-0,2024-03-06,SALIDA_ANTICIPADA,false,
59996061-0,2024-03-07,SALIDA_ANTICIPADA,false,
59996061-0,2024-03-08,AUSENTE,false,
59996061-0,2024-03-09,SALIDA_ANTICIPADA,false,
59996061-0,2024-03-10,AUSENTE,false,
89055344-4,2024-03-01,SALIDA_ANTICIPADA,false,
89055344-4,2024-03-02,PRESENTE,false,
89055344-4,2024-03-03,PRESENTE,false,
89055344-4,2024-03-04,AUSENTE,true,Certificado medico
89055344-4,2024-03-05,PRESENTE,false,
89055344-4,2024-03-06,SALIDA_ANTICIPADA,false,
89055344-4,2024-03-07,AUSENTE,false,
89055344-4,2024-03-08,AUSENTE,false,
89055344-4,2024-03-09,PRESENTE,false,
89055344-4,2024-03-10,PRESENTE,false,
62617050-2,2024-03-01,SALIDA_ANTICIPADA,false,
62617050-2,2024-03-02,AUSENTE,true,Certificado medico
62617050-2,2024-03-03,AUSENTE,false,
62617050-2,2024-03-04,SALIDA_ANTICIPADA,false,
62617050-2,2024-03-05,SALIDA_ANTICIPADA,false,
62617050-2,2024-03-06,PRESENTE,false,
62617050-2,2024-03-07,AUSENTE,false,
62617050-2,2024-03-08,PRESENTE,false,
62617050-2,2024-03-09,PRESENTE,false,
62617050-2,2024-03-10,SALIDA_ANTICIPADA,false,
10699630-5,2024-03-01,SALIDA_ANTICIPADA,false,
10699630-5,2024-03-02,AUSENTE,true,Certificado medico
10699630-5,2024-03-03,PRESENTE,false,
10699630-5,2024-03-04,AUSENTE,false,
10699630-5,2024-03-05,SALIDA_ANTICIPADA,false,
10699630-5,2024-03-06,PRESENTE,false,
10699630-5,2024-03-07,SALIDA_ANTICIPADA,false,
10699630-5,2024-03-08,AUSENTE,false,
10699630-5,2024-03-09,AUSENTE,false,
10699630-5,2024-03-10,SALIDA_ANTICIPADA,false,
93185260-2,2024-03-01,PRESENTE,false,
93185260-2,2024-03-02,SALIDA_ANTICIPADA,false,
93185260-2,2024-03-03,SALIDA_ANTICIPADA,false,
93185260-2,2024-03-04,SALIDA_ANTICIPADA,false,
93185260-2,2024-03-05,PRESENTE,false,
93185260-2,2024-03-06,SALIDA_ANTICIPADA,false,
93185260-2,2024-03-07,PRESENTE,false,
93185260-2,2024-03-08,SALIDA_ANTICIPADA,false,
93185260-2,2024-03-09,PRESENTE,false,
93185260-2,2024-03-10,AUSENTE,false,
74577794-4,2024-03-01,PRESENTE,false,
74577794-4,2024-03-02,AUSENTE,true,Certificado medico
74577794-4,2024-03-03,SALIDA_ANTICIPADA,false,
74577794-4,2024-03-04,PRESENTE,false,
74577794-4,2024-03-05,AUSENTE,false,
74577794-4,2024-03-06,AUSENTE,false,
74577794-4,2024-03-07,PRESENTE,false,
74577794-4,2024-03-08,SALIDA_ANTICIPADA,false,
74577794-4,2024-03-09,AUSENTE,true,Certificado medico
74577794-4,2024-03-10,PRESENTE,false,
37122501-9,2024-03-01,SALIDA_ANTICIPADA,false,
37122501-9,2024-03-02,PRESENTE,false,
37122501-9,2024-03-03,PRESENTE,false,
37122501-9,2024-03-04,PRESENTE,false,
37122501-9,2024-03-05,SALIDA_ANTICIPADA,false,
37122501-9,2024-03-06,AUSENTE,false,
37122501-9,2024-03-07,PRESENTE,false,
37122501-9,2024-03-08,AUSENTE,false,
37122501-9,2024-03-09,PRESENTE,false,
37122501-9,2024-03-10,SALIDA_ANTICIPADA,false,
28426096-9,2024-03-01,AUSENTE,false,
28426096-9,2024-03-02,AUSENTE,true,Certificado medico
28426096-9,2024-03-03,SALIDA_ANTICIPADA,false,
28426096-9,2024-03-04,SALIDA_ANTICIPADA,false,
