rut,fecha,estado,justificada,motivo
59502139-9,2025-03-01,PRESENTE,false,
59502139-9,2025-03-02,PRESENTE,false,
59502139-9,2025-03-03,SALIDA_ANTICIPADA,false,
59502139-9,2025-03-04,AUSENTE,false,
59502139-9,2025-03-05,AUSENTE,false,
91526832-2,2025-03-01,AUSENTE,false,
91526832-2,2025-03-02,PRESENTE,false,
91526832-2,2025-03-03,AUSENTE,true,Certificado medico
91526832-2,2025-03-04,AUSENTE,false,
91526832-2,2025-03-05,AUSENTE,true,Certificado medico
59081764-3,2025-03-01,SALIDA_ANTICIPADA,false,
59081764-3,2025-03-02,PRESENTE,false,
59081764-3,2025-03-03,AUSENTE,false,
59081764-3,2025-03-04,PRESENTE,false,
59081764-3,2025-03-05,PRESENTE,false,
26091594-2,2025-03-01,SALIDA_ANTICIPADA,false,
26091594-2,2025-03-02,AUSENTE,false,
26091594-2,2025-03-03,AUSENTE,true,Certificado medico
26091594-2,2025-03-04,SALIDA_ANTICIPADA,false,
26091594-2,2025-03-05,SALIDA_ANTICIPADA,false,
16840167-9,2025-03-01,PRESENTE,false,
16840167-9,2025-03-02,SALIDA_ANTICIPADA,false,
16840167-9,2025-03-03,AUSENTE,true,Certificado medico
16840167-9,2025-03-04,AUSENTE,false,
16840167-9,2025-03-05,AUSENTE,true,Certificado medico
19771990-8,2025-03-01,SALIDA_ANTICIPADA,false,
19771990-8,2025-03-02,PRESENTE,false,
19771990-8,2025-03-03,AUSENTE,false,
19771990-8,2025-03-04,AUSENTE,false,
19771990-8,2025-03-05,SALIDA_ANTICIPADA,false,
27924124-9,2025-03-01,SALIDA_ANTICIPADA,false,
27924124-9,2025-03-02,PRESENTE,false,
27924124-9,2025-03-03,PRESENTE,false,
27924124-9,2025-03-04,PRESENTE,false,
27924124-9,2025-03-05,PRESENTE,false,
57795330-2,2025-03-01,AUSENTE,false,
57795330-2,2025-03-02,AUSENTE,false,
57795330-2,2025-03-03,AUSENTE,false,
57795330-2,2025-03-04,SALIDA_ANTICIPADA,false,
57795330-2,2025-03-05,AUSENTE,false,
24491945-0,2025-03-01,PRESENTE,false,
24491945-0,2025-03-02,SALIDA_ANTICIPADA,false,
24491945-0,2025-03-03,PRESENTE,false,
24491945-0,2025-03-04,AUSENTE,false,
24491945-0,2025-03-05,PRESENTE,false,
16741046-3,2025-03-01,SALIDA_ANTICIPADA,false,
16741046-3,2025-03-02,PRESENTE,false,
16741046-3,2025-03-03,PRESENTE,false,
16741046-3,2025-03-04,PRESENTE,false,
16741046-3,2025-03-05,AUSENTE,false,
