rut,fecha,estado,justificada,motivo
95768629-5,2025-03-01,AUSENTE,false,
95768629-5,2025-03-02,PRESENTE,false,
95768629-5,2025-03-03,PRESENTE,false,
95768629-5,2025-03-04,AUSENTE,false,
95768629-5,2025-03-05,PRESENTE,false,
95768629-5,2025-09-04,AUSENTE,false,
69752253-2,2025-03-01,PRESENTE,false,
69752253-2,2025-03-02,AUSENTE,false,
69752253-2,2025-03-03,AUSENTE,true,Certificado medico
69752253-2,2025-03-04,PRESENTE,false,
69752253-2,2025-03-05,SALIDA_ANTICIPADA,false,
69752253-2,2025-09-04,PRESENTE,false,
18701517-4,2025-03-01,SALIDA_ANTICIPADA,false,
18701517-4,2025-03-02,AUSENTE,true,Certificado medico
18701517-4,2025-03-03,PRESENTE,false,
18701517-4,2025-03-04,PRESENTE,false,
18701517-4,2025-03-05,PRESENTE,false,
18701517-4,2025-09-04,PRESENTE,false,
82368171-8,2025-03-01,SALIDA_ANTICIPADA,false,
82368171-8,2025-03-02,SALIDA_ANTICIPADA,false,
82368171-8,2025-03-03,SALIDA_ANTICIPADA,false,
82368171-8,2025-03-04,AUSENTE,true,Certificado medico
82368171-8,2025-03-05,AUSENTE,true,Certificado medico
82368171-8,2025-09-04,PRESENTE,false,
25375421-5,2025-03-01,PRESENTE,false,
25375421-5,2025-03-02,PRESENTE,false,
25375421-5,2025-03-03,PRESENTE,false,
25375421-5,2025-03-04,AUSENTE,false,
25375421-5,2025-03-05,AUSENTE,false,
25375421-5,2025-09-04,PRESENTE,false,
19747781-1,2025-03-01,PRESENTE,false,
19747781-1,2025-03-02,AUSENTE,false,
19747781-1,2025-03-03,PRESENTE,false,
19747781-1,2025-03-04,SALIDA_ANTICIPADA,false,
19747781-1,2025-03-05,AUSENTE,false,
19747781-1,2025-09-04,PRESENTE,false,
83295431-9,2025-03-01,AUSENTE,false,
83295431-9,2025-03-02,SALIDA_ANTICIPADA,false,
83295431-9,2025-03-03,AUSENTE,false,
83295431-9,2025-03-04,AUSENTE,true,Certificado medico
83295431-9,2025-03-05,SALIDA_ANTICIPADA,false,
83295431-9,2025-09-04,PRESENTE,false,
78096303-4,2025-03-01,AUSENTE,true,Certificado medico
78096303-4,2025-03-02,AUSENTE,false,
78096303-4,2025-03-03,PRESENTE,false,
78096303-4,2025-03-04,AUSENTE,false,
78096303-4,2025-03-05,PRESENTE,false,
78096303-4,2025-09-04,PRESENTE,false,
87114473-7,2025-03-01,SALIDA_ANTICIPADA,false,
87114473-7,2025-03-02,PRESENTE,false,
87114473-7,2025-03-03,AUSENTE,false,
87114473-7,2025-03-04,AUSENTE,false,
87114473-7,2025-03-05,SALIDA_ANTICIPADA,false,
87114473-7,2025-09-04,PRESENTE,false,
27351319-9,2025-03-01,SALIDA_ANTICIPADA,false,
27351319-9,2025-03-02,AUSENTE,false,
27351319-9,2025-03-03,PRESENTE,false,
27351319-9,2025-03-04,SALIDA_ANTICIPADA,false,
27351319-9,2025-03-05,AUSENTE,false,
27351319-9,2025-09-04,PRESENTE,false,
