rut,fecha,estado,justificada,motivo
33579118-4,2025-03-01,SALIDA_ANTICIPADA,false,
33579118-4,2025-03-02,SALIDA_ANTICIPADA,false,
33579118-4,2025-03-03,AUSENTE,true,Certificado medico
33579118-4,2025-03-04,AUSENTE,true,Certificado medico
33579118-4,2025-03-05,PRESENTE,false,
91532374-6,2025-03-01,AUSENTE,false,
91532374-6,2025-03-02,PRESENTE,false,
91532374-6,2025-03-03,AUSENTE,false,
91532374-6,2025-03-04,PRESENTE,false,
91532374-6,2025-03-05,SALIDA_ANTICIPADA,false,
48701922-3,2025-03-01,PRESENTE,false,
48701922-3,2025-03-02,PRESENTE,false,
48701922-3,2025-03-03,AUSENTE,false,
48701922-3,2025-03-04,AUSENTE,false,
48701922-3,2025-03-05,PRESENTE,false,
70005080-8,2025-03-01,PRESENTE,false,
70005080-8,2025-03-02,AUSENTE,true,Certificado medico
70005080-8,2025-03-03,PRESENTE,false,
70005080-8,2025-03-04,AUSENTE,true,Certificado medico
70005080-8,2025-03-05,SALIDA_ANTICIPADA,false,
17378323-9,2025-03-01,AUSENTE,false,
17378323-9,2025-03-02,PRESENTE,false,
17378323-9,2025-03-03,SALIDA_ANTICIPADA,false,
17378323-9,2025-03-04,SALIDA_ANTICIPADA,false,
17378323-9,2025-03-05,SALIDA_ANTICIPADA,false,
52354264-5,2025-03-01,SALIDA_ANTICIPADA,false,
52354264-5,2025-03-02,AUSENTE,false,
52354264-5,2025-03-03,AUSENTE,true,Certificado medico
52354264-5,2025-03-04,SALIDA_ANTICIPADA,false,
52354264-5,2025-03-05,AUSENTE,true,Certificado medico
16886204-2,2025-03-01,PRESENTE,false,
16886204-2,2025-03-02,PRESENTE,false,
16886204-2,2025-03-03,PRESENTE,false,
16886204-2,2025-03-04,PRESENTE,false,
16886204-2,2025-03-05,AUSENTE,true,Certificado medico
78299207-0,2025-03-01,SALIDA_ANTICIPADA,false,
78299207-0,2025-03-02,PRESENTE,false,
78299207-0,2025-03-03,PRESENTE,false,
78299207-0,2025-03-04,AUSENTE,false,
78299207-0,2025-03-05,SALIDA_ANTICIPADA,false,
80984167-9,2025-03-01,PRESENTE,false,
80984167-9,2025-03-02,AUSENTE,true,Certificado medico
80984167-9,2025-03-03,AUSENTE,false,
80984167-9,2025-03-04,PRESENTE,false,
80984167-9,2025-03-05,PRESENTE,false,
94443799-2,2025-03-01,PRESENTE,false,
94443799-2,2025-03-02,AUSENTE,false,
94443799-2,2025-03-03,AUSENTE,false,
94443799-2,2025-03-04,PRESENTE,false,
94443799-2,2025-03-05,PRESENTE,false,
