rut,fecha,estado,justificada,motivo
59062433-2,2025-03-01,AUSENTE,false,
59062433-2,2025-03-02,PRESENTE,false,
59062433-2,2025-03-03,SALIDA_ANTICIPADA,false,
59062433-2,2025-03-04,SALIDA_ANTICIPADA,false,
59062433-2,2025-03-05,SALIDA_ANTICIPADA,false,
40472023-7,2025-03-01,SALIDA_ANTICIPADA,false,
40472023-7,2025-03-02,AUSENTE,true,Certificado medico
40472023-7,2025-03-03,AUSENTE,true,Certificado medico
40472023-7,2025-03-04,PRESENTE,false,
40472023-7,2025-03-05,PRESENTE,false,
77240215-4,2025-03-01,PRESENTE,false,
77240215-4,2025-03-02,AUSENTE,false,
77240215-4,2025-03-03,PRESENTE,false,
77240215-4,2025-03-04,SALIDA_ANTICIPADA,false,
77240215-4,2025-03-05,PRESENTE,false,
82362989-0,2025-03-01,SALIDA_ANTICIPADA,false,
82362989-0,2025-03-02,SALIDA_ANTICIPADA,false,
82362989-0,2025-03-03,SALIDA_ANTICIPADA,false,
82362989-0,2025-03-04,SALIDA_ANTICIPADA,false,
82362989-0,2025-03-05,SALIDA_ANTICIPADA,false,
17323293-3,2025-03-01,AUSENTE,false,
17323293-3,2025-03-02,PRESENTE,false,
17323293-3,2025-03-03,PRESENTE,false,
17323293-3,2025-03-04,SALIDA_ANTICIPADA,false,
17323293-3,2025-03-05,SALIDA_ANTICIPADA,false,
35118198-4,2025-03-01,PRESENTE,false,
35118198-4,2025-03-02,PRESENTE,false,
35118198-4,2025-03-03,SALIDA_ANTICIPADA,false,
35118198-4,2025-03-04,SALIDA_ANTICIPADA,false,
35118198-4,2025-03-05,SALIDA_ANTICIPADA,false,
53460818-0,2025-03-01,SALIDA_ANTICIPADA,false,
53460818-0,2025-03-02,AUSENTE,true,Certificado medico
53460818-0,2025-03-03,PRESENTE,false,
53460818-0,2025-03-04,PRESENTE,false,
53460818-0,2025-03-05,AUSENTE,false,
49373329-4,2025-03-01,AUSENTE,true,Certificado medico
49373329-4,2025-03-02,SALIDA_ANTICIPADA,false,
49373329-4,2025-03-03,PRESENTE,false,
49373329-4,2025-03-04,SALIDA_ANTICIPADA,false,
49373329-4,2025-03-05,PRESENTE,false,
71604431-4,2025-03-01,AUSENTE,false,
71604431-4,2025-03-02,AUSENTE,true,Certificado medico
71604431-4,2025-03-03,AUSENTE,false,
71604431-4,2025-03-04,AUSENTE,false,
71604431-4,2025-03-05,PRESENTE,false,
14083555-9,2025-03-01,AUSENTE,false,
14083555-9,2025-03-02,PRESENTE,false,
14083555-9,2025-03-03,SALIDA_ANTICIPADA,false,
14083555-9,2025-03-04,AUSENTE,false,
14083555-9,2025-03-05,PRESENTE,false,
