rut,nombre,cursoId,anio
68498351-0,Martina Sanchez,5B,2024
48808203-3,Valentina Morales,5B,2024
38722194-8,Jorge Morales,5B,2024
88322953-9,Luis Vargas,5B,2024
63346015-2,Martina Sanchez,5B,2024
59202590-8,Luis Vargas,5B,2024
38122621-4,Ana Vargas,5B,2024
82508500-5,Luis Vargas,5B,2024
61916082-8,Luis Rojas,5B,2024
38154516-5,Camila Castro,5B,2024
75807288-9,Jorge Lopez,5B,2024
45530784-7,Ana Sanchez,5B,2024
99847985-5,Martina Gomez,5B,2024
73522659-6,Jorge Sanchez,5B,2024
56660076-5,Pedro Rojas,5B,2024
