rut,nombre,cursoId,anio
71536314-6,Luis Morales,2B,2024
44641133-9,Martina Morales,2B,2024
32419055-7,Diego Sanchez,2B,2024
35552621-9,Luis Rojas,2B,2024
55254008-1,Pedro Rojas,2B,2024
88107565-2,Jorge Perez,2B,2024
29653182-4,Diego Fuentes,2B,2024
96049972-8,Ana Morales,2B,2024
81939746-2,Sofia Diaz,2B,2024
33367580-3,Jorge Rojas,2B,2024
51005370-9,Luis Vargas,2B,2024
18705738-3,Pedro Perez,2B,2024
61683006-7,Martina Castro,2B,2024
70940354-5,Ana Sanchez,2B,2024
83300661-8,Camila Sanchez,2B,2024
